forecast_date,forecast,lower_ci,upper_ci
2021-05-13,480.97683952230864,145.89211802560067,816.0615610190166
2021-05-14,296.6782541753603,-67.68406769274742,661.040576043468
2021-05-15,269.38795221343156,-117.99029569306737,656.7662001199305
2021-05-16,511.0335044271972,116.04606341345198,906.0209454409425
2021-05-17,513.7335381115772,114.57967226684076,912.8874039563136
2021-05-18,40.296127551974365,-364.6011809542804,445.19343605822905
2021-05-19,41.318701483921856,-364.361942462092,446.9993454299357
2021-05-20,424.8810552661458,-58.59517217790085,908.3572827101924
2021-05-21,274.62434340172166,-218.8808154313079,768.1295022347513
2021-05-22,237.25012280956201,-263.28900472178003,737.7892503409041
2021-05-23,442.0461606990791,-64.22929572484622,948.3216171230044
2021-05-24,450.07701037389626,-58.29838970457769,958.4524104523703
2021-05-25,34.78054568290046,-475.9028578287648,545.4639491945658
2021-05-26,31.565328650879785,-479.31016992808765,542.4408272298472
2021-05-27,447.7220967072976,-94.96741709606238,990.4116105106576
2021-05-28,286.8742076774102,-259.36961905144943,833.1180344062698
2021-05-29,266.2538152872942,-282.8590170606625,815.3666476352508
2021-05-30,454.5872144393056,-96.85812850494904,1006.0325573835603
2021-05-31,448.8818732211953,-103.36623349989475,1001.1299799422853
2021-06-01,33.58197479203134,-519.7602395217801,586.9241891058429
2021-06-02,28.129065357001963,-525.2811389650574,581.5392696790614
2021-06-03,466.5615038934502,-122.04951340301352,1055.1725211899138
2021-06-04,294.8033017235463,-298.6265544029364,888.2331578500291
2021-06-05,276.6669748728469,-320.71072579118623,874.04467553688
2021-06-06,475.62473020114265,-124.08274753374468,1075.33220793603
2021-06-07,468.32564241041666,-132.30740973172703,1068.9586945525602
2021-06-08,34.737013088495985,-567.1429911586984,636.6170173356904
2021-06-09,30.68433201134944,-571.3105856455462,632.679249668245
2021-06-10,458.6094187886147,-184.49808293507385,1101.7169205123032
2021-06-11,290.593975269643,-358.2936260122166,939.4815765515026
